1,0.563
2,0.324
3,0.138
4,0.634
5,0.132
6,0.161
7,0.919
8,0.544
9,0.119
10,0.197
11,0.521
12,1.601
13,0.66
14,0.939
15,0.885
16,0.115
17,0.083
18,0.512
19,0.616
20,0.152
21,0.718
22,0.062
23,0.949
24,0.349
25,0.004
26,0.613
27,0.925
28,0.948
29,0.682
30,0.937
31,0.719
32,0.116
33,0.756
34,0.127
35,0.164
36,0.527
37,0.872
38,0.763
39,0.915
40,0.606
41,2.112
42,0.005
43,0.936
44,2.092
45,0.952
46,0.509
47,0.494
48,0.005
49,0.184
50,0.041
51,0.518
52,0.948
53,0.61
54,0.149
55,0.148
56,0.041
57,0.244
58,0.169
59,2.089
60,0.792
61,0.945
62,0.536
63,0.091
64,0.617
65,0.579
66,0.969
67,0.935
68,0.38
69,0.627
70,0.218
71,0.486
72,0.597
73,0.083
74,0.68
75,0.093
76,0.516
77,0.004
78,0.679
79,0.04
80,0.506
81,0.643
82,0.061
83,0.604
84,0.642
85,0.852
86,0.118
87,0.161
88,0.608
89,0.462
90,0.929
91,0.851
92,0.95
93,0.137
94,0.831
95,0.118
96,0.129
