,,,1,,32071,,,142
1,,142,2,,245735,,,372
2,,372,3,,46996,,,5451
3,,5451,4,,72355,,,13728
4,,13728,5,,24139,,,16763
5,,16763,6,,24141,,,21976
6,,21976,7,,33137,,,23506
7,,23506,8,,16763,,,24139
8,,24139,9,,53553,,,24141
9,,24141,10,,30746,,,30746
10,,30746,11,,42852,,,32071
11,,32071,12,,21976,,,33137
12,,33137,13,,,,,41223
13,,41223,14,,24141,,,42852
14,,42852,15,,23506,,,46996
15,,46996,16,,64592,,,53553
16,,53553,17,,64592,,,64592
17,,64592,18,,42852,,,72355
18,,72355,19,,372,,,156416
19,,156416,20,,142,,,165714
20,,165714,21,,32071,,,211073
21,,211073,22,,21976,,,245735
22,,245735,23,,211073,,,423960
23,,423960,24,,245735,,,142
,,,25,,21976,,,372
,,,26,,72355,,,5451
,,,27,,165714,,,13728
,,,28,,33137,,,16763
,,,29,,165714,,,21976
,,,30,,211073,,,23506
,,,31,,32071,,,24139
,,,32,,53553,,,24141
,,,33,,33137,,,30746
,,,34,,142,,,32071
,,,35,,24141,,,33137
,,,36,,42852,,,41223
,,,37,,32071,,,42852
,,,38,,23506,,,46996
,,,39,,211073,,,53553
,,,40,,72355,,,64592
,,,41,,156416,,,72355
,,,42,,23506,,,156416
,,,43,,33137,,,165714
,,,44,,156416,,,211073
,,,45,,211073,,,245735
,,,46,,42852,,,423960
,,,47,,13728,,,142
,,,48,,42852,,,372
,,,49,,142,,,5451
,,,50,,24139,,,13728
,,,51,,42852,,,16763
,,,52,,211073,,,21976
,,,53,,72355,,,23506
,,,54,,30746,,,24139
,,,55,,53553,,,24141
,,,56,,24139,,,30746
,,,57,,245735,,,32071
,,,58,,245735,,,33137
,,,59,,156416,,,41223
,,,60,,23506,,,42852
,,,61,,24141,,,46996
,,,62,,16763,,,53553
,,,63,,64592,,,64592
,,,64,,165714,,,72355
,,,65,,165714,,,156416
,,,66,,32071,,,165714
,,,67,,33137,,,211073
,,,68,,372,,,245735
,,,69,,165714,,,423960
,,,70,,24141,,,142
,,,71,,13728,,,372
,,,72,,165714,,,5451
,,,73,,64592,,,13728
,,,74,,165714,,,16763
,,,75,,21976,,,21976
,,,76,,42852,,,23506
,,,77,,42852,,,24139
,,,78,,372,,,24141
,,,79,,24139,,,30746
,,,80,,16763,,,32071
,,,81,,46996,,,33137
,,,82,,21976,,,41223
,,,83,,165714,,,42852
,,,84,,72355,,,46996
,,,85,,23506,,,53553
,,,86,,30746,,,64592
,,,87,,46996,,,72355
,,,88,,72355,,,156416
,,,89,,41223,,,165714
,,,90,,33137,,,211073
,,,91,,23506,,,245735
,,,92,,24141,,,423960
,,,93,,46996,,,142
,,,94,,165714,,,372
,,,95,,53553,,,5451
,,,96,,142,,,13728
