1,0.975
2,0.258
3,0.154
4,0.637
5,0.194
6,0.962
7,1.065
8,0.55
9,0.128
10,0.197
11,0.546
12,0.1
13,0.672
14,0.177
15,1.036
16,0.092
17,0.004
18,0.513
19,0.62
20,0.158
21,0.725
22,0.062
23,1.047
24,0.244
25,0.004
26,0.618
27,1.323
28,0.918
29,1.015
30,1.671
31,0.719
32,0.115
33,0.004
34,0.127
35,0.937
36,0.516
37,0.702
38,0.788
39,0.978
40,0.63
41,1.576
42,0.869
43,0.902
44,3.435
45,0.92
46,0.512
47,0.527
48,0.005
49,0.127
50,0.051
51,0.004
52,0.959
53,0.615
54,0.146
55,0.117
56,0.051
57,0.25
58,0.17
59,2.11
60,0.778
61,0.176
62,0.541
63,0.084
64,0.601
65,0.659
66,0.716
67,0.917
68,0.381
69,0.668
70,0.941
71,0.486
72,0.731
73,0.083
74,0.772
75,0.093
76,0.512
77,0.005
78,0.656
79,0.053
80,0.51
81,0.197
82,0.005
83,0.745
84,0.633
85,0.766
86,0.118
87,0.128
88,0.615
89,0.371
90,0.92
91,0.849
92,0.176
93,0.129
94,0.826
95,0.15
96,0.128
