0.004,,0.0488563686,0.0020120938,
0.002,,0.0488509485,0.0021950114,
0.002,,0.0488482385,0.0021947574,
0.002,,0.048848238,0.0021947574,
0.002,,0.048848238,0.0021947574,
0.001,,0.048848238,0.0022894539,
0.001,,0.048848238,0.0022894539,
0.002,,0.048848238,0.0021947574,
0.002,,0.048848238,0.0021947574,
0.042,,0.048848238,4.6898363704644E-005,
0.001,,0.048848238,0.0022894539,
0.002,,0.048848238,0.0021947574,
0.002,,0.048848238,0.0021947574,
0.002,,0.048848238,0.0021947574,
0.001,,0.048848238,0.0022894539,
0.002,,0.048848238,0.0021947574,
0.001,,0.048848238,0.0022894539,
0.002,,0.048848238,0.0021947574,
0.002,,0.048848238,0.0021947574,
0.041,,0.048848238,6.1594839704644E-005,
0.002,,0.048848238,0.0021947574,
0.002,,0.048848238,0.0021947574,
0.037,,0.048848238,0.0001403807,
0.002,,0.048848238,0.0021947574,
0.002,,0.048848238,0.0021947574,
0.002,,0.048848238,0.0021947574,
0.003,,0.048848238,0.0021020609,
0.002,,0.048848238,0.0021947574,
0.043,,0.048848238,3.4201887704644E-005,
0.036,,0.048848238,0.0001650772,
0.001,,0.048848238,0.0022894539,
0.002,,0.048848238,0.0021947574,
0.002,,0.048848238,0.0021947574,
0.003,,0.048848238,0.0021020609,
0.001,,0.048848238,0.0022894539,
0.002,,0.048848238,0.0021947574,
0.002,,0.048848238,0.0021947574,
0.002,,0.048848238,0.0021947574,
0.001,,0.048848238,0.0022894539,
0.041,,0.048848238,6.1594839704644E-005,
0.001,,0.048848238,0.0022894539,
0.001,,0.048848238,0.0022894539,
0.002,,0.048848238,0.0021947574,
0.002,,0.048848238,0.0021947574,
0.002,,0.048848238,0.0021947574,
0.002,,0.048848238,0.0021947574,
0.002,,0.048848238,0.0021947574,
0.001,,0.048848238,0.0022894539,
0.061,,0.048848238,0.0001476653,
0.036,,0.048848238,0.0001650772,
0.001,,0.048848238,0.0022894539,
0.002,,0.048848238,0.0021947574,
0.055,,0.048848238,3.7844175704644E-005,
0.036,,0.048848238,0.0001650772,
0.002,,0.048848238,0.0021947574,
0.002,,0.048848238,0.0021947574,
0.002,,0.048848238,0.0021947574,
0.041,,0.048848238,6.1594839704644E-005,
0.093,,0.048848238,0.0019493781,
0.056,,0.048848238,5.1147699704644E-005,
0.054,,0.048848238,2.6540651704644E-005,
0.002,,0.048848238,0.0021947574,
0.002,,0.048848238,0.0021947574,
0.041,,0.048848238,6.1594839704644E-005,
0.039,,0.048848238,9.6987791704644E-005,
0.039,,0.048848238,9.6987791704644E-005,
