All url,,,,Shuffle,,,Ordered,
,,,,https://www.python.org/,46996,,https://twitter.com/,72355
,,,,https://twitter.com/,72355,,https://www.dropbox.com/,156416
,,,,https://www.linkedin.com/,41223,,http://www.ebay.com/,165714
,,,,http://www.ros.org/,33137,,https://www.pinterest.com/,211073
,,,,https://www.gnu.org/,23506,,http://stackoverflow.com/,245735
,,,,https://thrift.apache.org/,24141,,http://www.amazon.com/,423960
,,,,https://www.python.org/,46996,,www.msn.com/,142
,,,,http://www.ebay.com/,165714,,https://yahoo.com/,372
,,,,https://www.google.fr/,53553,,http://curl.haxx.se/libcurl/c/,5451
,,,,www.msn.com/,142,,https://instagram.com/,13728
