%time,field
1441698628864242981,-0.00195549661294
1441698628880521518,-0.0017003902467
1441698628896725978,-0.00154112768359
1441698628919200391,-0.0014371778816
1441698628935807912,-0.00113057356793
1441698628954836012,0.203678235412
1441698628969194041,0.356461584568
1441698628979969529,0.499338716269
1441698628997594772,0.625303983688
1441698629014379014,0.680210471153
1441698629030990866,0.769555807114
1441698629047992068,0.869372427464
1441698629064970364,0.912751019001
1441698629080980731,0.940137505531
1441698629097461753,0.967508733273
1441698629114420853,0.985562622547
1441698629131193813,0.994413614273
1441698629150133624,0.998690366745
1441698629163877727,0.998162448406
1441698629182044199,0.999228656292
1441698629197988948,0.999034106731
1441698629213834767,0.999030292034
1441698629232495187,0.998855769634
1441698629247555263,0.99810808897
1441698629268111865,0.99900072813
1441698629283976303,0.999121844769
1441698629302660494,0.999065101147
1441698629314859371,0.999069869518
1441698629338839911,0.998771846294
1441698629354158560,0.998241126537
1441698629370168742,0.998949706554
1441698629388195722,0.999221026897
1441698629402954552,0.998954951763
1441698629423683668,0.997725665569
1441698629437490078,0.99920552969
1441698629452154767,0.999134719372
1441698629470634724,0.998697459698
1441698629484964643,0.999100625515
1441698629497436361,0.998354375362
1441698629513643583,0.998700082302
1441698629532098097,0.998957276344
1441698629547967342,0.998981833458
1441698629565604033,0.999762415886
1441698629581486507,0.997963964939
1441698629599008304,0.999069392681
1441698629615714722,0.999295175076
1441698629631001947,0.998889505863
1441698629648845678,0.999280154705
1441698629665538428,0.999126374722
1441698629680806098,0.99913328886
1441698629699388469,0.99913662672
1441698629713653816,0.998410880566
1441698629733390014,0.998726546764
1441698629751242672,0.999129474163
1441698629770396295,0.999174296856
1441698629787001685,0.998970210552
1441698629801705724,0.999700248241
1441698629824087785,0.998358428478
1441698629840886024,0.999147117138
1441698629857888586,0.998990237713
1441698629871016817,0.999138057232
1441698629886216401,0.999167621136
1441698629905649450,0.999214351177
1441698629919830514,0.999585330486
1441698629930713799,0.999279201031
1441698629949633265,0.998604953289
1441698629967702210,0.998476207256
1441698629980833133,0.9987180233
1441698630002431719,0.999085605145
1441698630014552809,0.999452769756
1441698630032401819,0.999359309673
1441698630049389692,0.999076068401
1441698630065060310,0.999569118023
1441698630084949204,0.999160945415
1441698630098510031,0.998734652996
1441698630116494194,0.998546779156
1441698630137869575,0.999284923077
1441698630149484734,0.878242969513
1441698630168891778,0.760255157948
1441698630180771529,0.716265797615
1441698630197515997,0.581753790379
1441698630214579155,0.473592072725
1441698630231533484,0.365643978119
1441698630247467585,0.248491108418
1441698630268391579,0.12238804996
1441698630287632407,-0.0010666778544
1441698630299846022,-0.00187348108739
1441698630313844690,-0.00221870886162
1441698630333477852,-0.00216291937977
1441698630349396253,-0.0019173497567
1441698630364761963,-0.00169895973522
1441698630380004011,-0.0014924906427
1441698630397560760,-0.00172137096524
1441698630414299845,-0.00170325126965
1441698630431435069,-0.00226257764734
1441698630447877870,-0.00215147528797
1441698630464893836,-0.0019388073124
1441698630479945979,-0.0021161895711
1441698630496753682,-0.0806464701891
1441698630516844181,-0.134676530957
1441698630530829088,-0.179519921541
1441698630548285801,-0.242508277297
1441698630563671019,-0.269277244806
1441698630580063729,-0.340541541576
1441698630597726937,-0.36795425415
1441698630613777699,-0.465581268072
1441698630632020023,-0.556222200394
1441698630651629199,-0.592274188995
1441698630671912958,-0.699222326279
1441698630686861739,-0.780236899853
1441698630703604923,-0.843422174454
1441698630716207201,-0.888862550259
1441698630731375732,-0.933032691479
1441698630747684840,-0.96885818243
1441698630770765550,-0.987005531788
1441698630797093002,-0.99543595314
1441698630812313400,-1.00127911568
1441698630824723417,-1.00150799751
1441698630843556988,-1.00099515915
1441698630860895202,-1.00087308884
1441698630877883222,-1.00276958942
1441698630889940649,-1.00066494942
1441698630901919982,-1.0002310276
1441698630911701473,-1.00047421455
1441698630921692696,-1.00140690804
1441698630937521349,-1.00096917152
1441698630949724327,-1.00035881996
1441698630964374640,-1.00041794777
1441698630982538585,-1.00083327293
1441698630997103613,-1.00098109245
1441698631013257997,-1.00126719475
1441698631030744060,-1.00132632256
1441698631047051963,-1.00136399269
1441698631064800996,-1.00119709969
1441698631079986832,-1.00103735924
1441698631096712687,-1.00087165833
1441698631117096754,-1.00088047981
1441698631130341218,-1.00100898743
1441698631148083556,-1.00169181824
1441698631164723677,-1.00044453144
1441698631180304385,-1.00121414661
1441698631197744344,-1.00054824352
1441698631214163460,-1.00098991394
1441698631233175487,-1.00103449821
1441698631250066595,-1.00076758862
1441698631264919323,-1.00112247467
1441698631280449713,-1.00104439259
1441698631296930816,-1.00162172318
1441698631313243417,-1.00091040134
1441698631330830539,-1.0009200573
1441698631350896527,-1.00064325333
1441698631373375144,-1.00139117241
1441698631391756759,-1.00177192688
1441698631404759027,-1.00116324425
1441698631416237005,-1.00121378899
1441698631431312708,-1.00095820427
1441698631447483845,-1.00118899345
1441698631468578803,-1.00218176842
1441698631494039997,-1.00160336494
1441698631510750587,-1.00155329704
1441698631523907011,-1.00140357018
1441698631535751754,-1.00181508064
1441698631550505113,-1.00093102455
1441698631566632527,-1.0009996891
1441698631578972742,-1.00081086159
1441698631597427323,-1.00074791908
1441698631609576770,-1.00140881538
1441698631620352844,-1.0011074543
1441698631632428316,-1.00097775459
1441698631648694057,-1.00072550774
1441698631674125896,-1.00058484077
1441698631693473312,-1.00021100044
1441698631705514813,-1.00061821938
1441698631715404689,-1.00075650215
1441698631727554074,-1.0029708147
1441698631742035871,-1.00063729286
1441698631763537646,-1.00118374825
1441698631778124715,-1.0007174015
1441698631794084612,-1.00091099739
1441698631812306374,-1.00057673454
1441698631829032765,-1.00007843971
1441698631851335458,-1.00046610832
1441698631874518402,-0.89718568325
1441698631891482675,-0.753641486168
1441698631904610855,-0.583325445652
1441698631917895689,-0.449183404446
1441698631933322703,-0.377735078335
1441698631944498747,-0.161363512278
1441698631957184073,-0.0981343612075
1441698631970643301,-0.00194262200966
1441698631992420957,-0.00138997135218
1441698632005626636,-0.00201080925763
1441698632018547117,-0.00197409302928
1441698632036401390,-0.00195025128778
1441698632051642116,-0.00228689610958
1441698632066281112,-0.00225828611292
1441698632085036006,-0.00230692327023
1441698632097298378,-0.00204847916029
1441698632108705224,-0.00250290194526
1441698632123765657,-0.0029196550604
1441698632136667266,0.0938213914633
1441698632154204247,0.139046728611
1441698632170527928,0.247287094593
1441698632185844504,0.35507068038
1441698632201329144,0.497681260109
1441698632221159479,0.588919639587
1441698632234173231,0.651772081852
1441698632250533485,0.706061542034
1441698632267566540,0.752114653587
1441698632283314873,0.815176427364
1441698632302372687,0.859895825386
1441698632317887617,0.885600566864
1441698632332903111,0.937821984291
1441698632349717676,0.967082440853
1441698632367199024,0.993081331253
