%time,field
1441698628894773562,-0.0
1441698628902980204,0.0164023116231
1441698628911031607,0.0702952221036
1441698628918991737,0.133170291781
1441698628922836337,0.205027505755
1441698628930865205,0.285901546478
1441698628938772466,0.357758790255
1441698628946868419,0.429616004229
1441698628954710605,0.5014731884
1441698628962646173,0.56434828043
1441698628970614033,0.627258002758
1441698628978642194,0.681150913239
1441698628986613415,0.726061701775
1441698628994597287,0.770972430706
1441698629002636050,0.806901037693
1441698629006698846,0.842829704285
1441698629014761194,0.869776129723
1441698629022657824,0.896722614765
1441698629030666824,0.914686918259
1441698629038737571,0.932651221752
1441698629046737821,0.941633343697
1441698629054662099,0.950615525246
1441698629062679480,0.968579828739
1441698629070689740,0.977561950684
1441698629074658026,0.986544132233
1441698629090731404,0.995526254177
1441698629106821679,1.0
1441698630106927492,0.914686918259
1441698630115057571,0.878758311272
1441698630122799812,0.833847522736
1441698630130985793,0.797918915749
1441698630138694607,0.761990308762
1441698630146653065,0.717079520226
1441698630154874657,0.681150913239
1441698630162787810,0.636240184307
1441698630170738342,0.582312583923
1441698630178651890,0.528419673443
1441698630182778339,0.474526762962
1441698630190646975,0.429616004229
1441698630198731363,0.366740942001
1441698630206660850,0.312848001719
1441698630214881645,0.249972954392
1441698630222698358,0.187063202262
1441698630230719402,0.124188140035
1441698630238624383,0.0702952221036
1441698630246715202,0.0164023116231
1441698630250710424,-0.0
1441698630258817193,-0.0
1441698630267001304,-0.0
1441698630274803032,-0.0
1441698630282763734,-0.0
1441698630390797760,-0.0
1441698630406725566,-0.0
1441698630415059885,-0.0
1441698630422740389,-0.0
1441698630430913676,-0.0
1441698630434693744,-0.0
1441698630442705794,-0.0
1441698630450758699,-0.0253151040524
1441698630458642246,-0.0522615611553
1441698630466968013,-0.0792080163956
1441698630474681289,-0.106154471636
1441698630482756902,-0.133100926876
1441698630490671105,-0.15106523037
1441698630499150647,-0.17801168561
1441698630506800942,-0.195975989103
1441698630510992640,-0.222922459245
1441698630518674855,-0.240886762738
1441698630526655676,-0.267867892981
1441698630534693454,-0.294814348221
1441698630542680704,-0.312778651714
1441698630550695984,-0.339725106955
1441698630558580811,-0.366671562195
1441698630566762073,-0.393618017435
1441698630570625889,-0.429546624422
1441698630578616131,-0.465475231409
1441698630586716361,-0.492421686649
1441698630594666413,-0.528350293636
1441698630603184855,-0.555296778679
1441698630610729685,-0.591225385666
1441698630618796815,-0.627153992653
1441698630626782067,-0.663117289543
1441698630634855579,-0.69904589653
1441698630642814534,-0.725992321968
1441698630647184883,-0.752938807011
1441698630654834359,-0.779885232449
1441698630662790161,-0.815813839436
1441698630670907200,-0.842760324478
1441698630678659278,-0.869706749916
1441698630686700367,-0.88767105341
1441698630694832224,-0.914617538452
1441698630702632442,-0.932581841946
1441698630706571921,-0.950546145439
1441698630714763703,-0.968510448933
1441698630722641926,-0.977492570877
1441698630730805109,-0.986474752426
1441698630746646967,-0.995456874371
1441698630771639354,-1.0
1441698630851019692,-1.0
1441698630867047814,-1.0
1441698630894813676,-1.0
1441698630942952709,-1.0
1441698631158885064,-1.0
1441698631202925957,-1.0
1441698631234820271,-1.0
1441698631399129888,-1.0
1441698631822850316,-0.923599660397
1441698631831095118,-0.896653234959
1441698631839013173,-0.851742446423
1441698631847066330,-0.806831717491
1441698631854880055,-0.752938807011
1441698631862842153,-0.69904589653
1441698631870905606,-0.636170804501
1441698631878846424,-0.582243204117
1441698631886859924,-0.510385990143
1441698631894734912,-0.447510927916
1441698631898730329,-0.447510927916
1441698631902667700,-0.375653713942
1441698631910803404,-0.303796499968
1441698631914707157,-0.303796499968
